Name of Movies,Year of release,Certificates,Duration of movie,Genre,Star,Metascore,Votes
 The Walking Dead,2010–2022,TV-14,43 min,"Drama, Horror, Thriller",4.1,nil,"6,022"
The Ice Road,2021,PG-13,109 min,"Adventure, Drama, Thriller",5.5,41        ,"5,995"
 Aspirants,2021– ,not rated,38 min,Drama,9.6,nil,"5,923"
 The New York Times Presents,2020– ,TV-MA,74 min,Documentary,6.9,nil,"5,911"
The Mosquito Coast,2021– ,TV-MA,nil,"Adventure, Drama, Thriller",7.0,nil,"5,881"
Jathi Ratnalu,2021,not rated,145 min,Comedy,7.6,nil,"5,873"
Allen v. Farrow,2021,TV-MA,256 min,"Documentary, Biography, Crime",6.4,nil,"5,856"
 The Family Man,2019– ,TV-14,nil,"Action, Comedy, Drama",9.3,nil,"5,815"
Billie Eilish: The World's a Little Blurry,2021,R,140 min,"Documentary, Biography, Music",7.8,70        ,"5,815"
The Hitman's Wife's Bodyguard,2021,R,100 min,"Action, Comedy, Crime",6.5,32        ,"5,730"
The Pembrokeshire Murders,2021,TV-14,144 min,"Crime, Drama",7.1,nil,"5,709"
" Love, Death & Robots",2019– ,TV-MA,7 min,"Animation, Short, Comedy",7.4,nil,"5,704"
Crisis,2021,R,118 min,"Drama, Thriller",6.1,40        ,"5,695"
 Aspirants,2021– ,not rated,49 min,Drama,9.8,nil,"5,694"
Pretend It's a City,2021,TV-14,203 min,"Documentary, Biography, Comedy",8.1,nil,"5,670"
The Great Indian Kitchen,2021,not rated,100 min,"Comedy, Drama",8.3,nil,"5,594"
 The Walking Dead,2010–2022,TV-MA,40 min,"Drama, Horror, Thriller",5.1,nil,"5,587"
" Love, Death & Robots",2019– ,TV-MA,11 min,"Animation, Short, Comedy",7.0,nil,"5,578"
Dracula,2021– ,not rated,nil,"Comedy, Drama",8.7,nil,"5,525"
The Sons of Sam: A Descent into Darkness,2021,TV-MA,239 min,"Documentary, Crime, History",7.0,nil,"5,451"
 Aspirants,2021– ,not rated,45 min,Drama,9.7,nil,"5,433"
" Love, Death & Robots",2019– ,TV-MA,13 min,"Animation, Short, Comedy",7.0,nil,"5,412"
 Broken But Beautiful,2018– ,not rated,nil,"Drama, Romance",9.6,nil,"5,400"
Young Rock,2021– ,TV-PG,nil,Comedy,7.1,nil,"5,288"
Krack,2021,Not Rated,154 min,"Action, Crime, Thriller",7.3,nil,"5,274"
" Love, Death & Robots",2019– ,TV-MA,13 min,"Animation, Short, Comedy",6.6,nil,"5,230"
November Story,2021– ,not rated,40 min,"Crime, Thriller",8.0,nil,"5,219"
The Last Hour,2021– ,not rated,36 min,"Crime, Drama, Mystery",7.5,nil,"5,201"
 Invincible,2021– ,TV-MA,46 min,"Animation, Action, Adventure",9.3,nil,"5,198"
